userName,rating,title,isEdited,date,review,id,body,modified
mjgshshejn,5,Really helpful,False,2021-11-11 22:39:08,"As someone who frequently uses the VA website for disability claims and healthcare, this is a huge timesaver. I read in another review that there might soon be notifications of medical appointment changes.  This would be huge since I’m usually not told when an appointment changes or gets cancelled.  The only improvement I would like to see is an ability to refresh the status of a disability claim.  For instance it is 4:30 in the afternoon now but it is showing my most recent status from when I checked it at 10pm yesterday.  It seems you can only check it once per 24 hours with the app.  This is fine most of the time but when they are getting close to publishing a final decision, I’d like to refresh more often. As it stands, this is now pushing me back to the website daily.",,,
Phillip M. Burroughs,5,My Sanctuary,False,2022-03-20 13:53:35,"I cannot express how much the Veterans Administration in Richmond Virginia has turned my life around making me the man who I am today. I love being a Marine and the integrity it is taught me to be accountable and respectful to others. Problem is, it was a journey that text my soul and my body. The Doctors, Nurses, Specialist, Assistants (not to mention all the supporting roles that interact with we Veterans) at the Veterans Hospital in Richmond have been instrumentally and spiritually and helping me grow and rebuild my body.
Whereas I’ve heard many veterans have challenges that have resulted in given opportunities for their individual growth; of the almost 25 years I’ve been going to the sanctuary I’ve had nothing but outstanding treatment.
This new app has been another tool that has giving me the opportunity to submit this declaration, that I want the whole hospital to know, this is one Veteran that absolutely loves everybody who has done nothing but give and helping us (& me) in rebuilding our lives. From the deepest parts of my body, thank you for everything you have done for me and mine. God bless you all.
OohRah, GitSum. SemperFi!!! 🇺🇸👍🏻 

Phillip Mason Burroughs, US Marine Veteran",,,
BMWs1000rr-Rider,3,Useful but lacking,False,2022-04-26 06:16:58,"The app is very helpful in being able to quickly look at your claim status and any upcoming appointments. However, it is severely lacking in showing some of the same important information that is available on the website, such as any documents being requested from you, to be submitted by a deadline. Many Vets may not check the website on a regular basis, if they are solely using the app to check their claim status. Also, with the horrendous pace of snail mail notifications from the VA, having that info available within the app, becomes doubly important to be able see it in a timely manner. Also, it would be of great help if there were notifications, or if a badge icon would appear, to show that there is an update/change to a claim in progress, instead of the incessant checking most vets will do in the app, or web page on a daily basis.",,,
HossBoss81,5,Love this new app!!,False,2022-06-11 16:29:42,"The VA hit the nail on the head with this app. I can’t stress enough how useful it is. I can message my healthcare provider, check appointments, get official letters, view my claims, and check payments. There’s more I didn’t list but these are the features I use most frequently. It used to be that I had to go on the computer and navigate to different areas of the VA site which at the time were unintuitive, it’s sooo much easier now. Thank you for this!!!",,,
thedcoy,1,Not for IPhones,False,2022-06-02 19:05:36,"Both apps for VA Health and Refills are useless on iPhones. First, after enduring all the redirects you come to the page where you sign in. Once you sign in, you often get an error saying no internet connection. Which is untrue as you test your signal and it’s strong. I went with the apps because the browser website failed to work 90% of the time. I sure hope they fix these issues soon, as I’d like to check my appointments, message my doctor, and refill my medications. As of today, I have to deal with long waits on the phone as well as call backs.
I would think that having a good operating system would be paramount to the VA. Not having a reliable system sure waste a lot of peoples time. Mine and the VA.",,,
Sojourner426,2,🤪,False,2022-03-05 13:51:09,The change is too drastic and the appointment information is in jargon not in an understanding for veterans.  The change was not done in an orderly manner as a result I missed a really important appointment because I didn’t receive any response until after the appointment and it wasn’t on the schedule and the social worker who I had the appointment with was a lax poor excuse of a person and didn’t even reach out to me so my PTSD has been unnecessarily triggered because I am relocating and I need assistance so now I’m getting anxious 😥 SMH 🤦🏽‍♀️ I guess in the end we will get accustomed to it just before it’s changed again. VA ACE = veterans administration always changing everything but all in all…I love 💕 my va,,,
spiritualhypster,2,Review new sign in,False,2022-06-07 21:42:55,Tried a number of times without sucess to use new. Now forced to Or to go through all kinds of gyrations trying to get logged into anything that would give me my healthy vet and found a little success except for the last minute was able to send a secure message to my doctor about emergency condition don’t appreciate the program as it is it it causes much confusion and makes things extremely difficult for us to keep our heads above water with the system please adjust. If I weren’t feeling so bad right now I’d have a lot more to tell you but you need to look into the difficulty of this thing particular for for us old guys.,,,
Ncraximus,4,Good Start But…,False,2021-11-07 14:21:15,"UPDATE QUESTION: Any update on adding prescription information and ability to reorder prescriptions via this app?

I appreciate the VA coming out with an app like this and it is a good start. However I have a request. It would be nice when I get to my health information that I would also have a link or a tab where I could check my prescriptions and refill prescription without having to be directed to the website to log into my healthevet and do it from there. It would just streamline the process really nice. Please consider and thank you!",26174910.0,"Hi! Thanks for your question. We are looking at how to create a delightful experience with prescriptions now. Your feedback means a lot, keep it coming!",2021-11-09T17:15:05Z
burgerman44,1,App needs tons of work,False,2022-02-01 16:04:18,"Not used friendly, too many redirects to get in, secure messaging is terrible, and the web version needs a lot of work which I’m sure you know.  Tell less information and needs more information accessibility rather to make it look like a game.  With the budget you would think you could hire some better programmers.
I’ll wait a year or so before really using, if I do, because the desktop version gives more detailed options and you need a lot of work. I suggest hiring, onboard, or contract out across the spectrum of age and gender, (veteran and non alike) to continue to implement these new changes.

Short version, the app is terrible and needs a lot of work. Keep trying you’ll get it.",28072511.0,Thank you for giving us this feedback. We take it seriously and are constantly working to improve the app experience. We are sorry it didn't meet your expectations. ,2022-02-16T00:33:43Z
hshsjskdlfja,1,Missing Explanation for Backlog,False,2021-11-20 22:07:08,"I chose the direct review process because it was presented as only taking up to 12-months for a decision. It’s taken far longer than 12-months. In this time I have never received any status or explanation for why it’s taking so long, and eBenefits just keeps saying that it’s awaiting to be sent to a judge without providing any kind of timeframe. Yet, when I view VBA’s metrics, it looks like the average time for a direct review decision is still 246 days. I’ve contacted VBA twice, once no explanation was provided the second time VBA didn’t even return my call. All this and the news from VA is always just showing leadership patting themselves on the back and telling everyone how great VA is doing with everything.",26612294.0,"This sounds really frustrating, I'm sorry. Unfortunately, the app team doesn't have any control over the information displayed about a claim or appeal. What I can do is pass your information and feedback along, and if you email us, I can try to connect you with someone who might be able to give you more information. You can reach us at vaflagshipmobile@va.gov. Thank you for providing this feedback and I look forward to trying to help you get this resolved. ",2021-12-02T23:31:26Z
