"post_id"	"conversation_id"	"disease_id"	"author"	"num_stars"	"timestamp"	"in_reply_to"	"is_primary_question"	"num_replies"
"HIF2016_DIS01_CONV10_POST147"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"saradan"	"0"	"1206486000000"	""	"true"	"30"
"HIF2016_DIS01_CONV10_POST148"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"elroque"	"0"	"1206572400000"	""	"false"	"0"
"HIF2016_DIS01_CONV10_POST149"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"lizziecee"	"3"	"1206658800000"	"saradan"	"false"	"0"
"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"April2"	"2"	"1207173600000"	""	"false"	"0"
"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"saradan"	"0"	"1207260000000"	"liz & April"	"false"	"0"
"HIF2016_DIS01_CONV10_POST152"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"georgie439"	"0"	"1208037600000"	"jejelum"	"false"	"0"
"HIF2016_DIS01_CONV10_POST153"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"PrincessKatie"	"0"	"1208037600000"	""	"false"	"0"
"HIF2016_DIS01_CONV10_POST154"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"spazzy24"	"0"	"1230246000000"	"sardan"	"false"	"0"
"HIF2016_DIS01_CONV10_POST155"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"soldiersgirl336"	"0"	"1231369200000"	"All"	"false"	"0"
"HIF2016_DIS01_CONV10_POST156"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"Montey25"	"0"	"1273183200000"	""	"false"	"0"
"HIF2016_DIS01_CONV10_POST157"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"Kathy942"	"0"	"1294354800000"	"All"	"false"	"0"
"HIF2016_DIS01_CONV10_POST158"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"ill13632"	"3"	"1302386400000"	""	"false"	"0"
"HIF2016_DIS01_CONV10_POST159"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"nkf738"	"0"	"1307397600000"	""	"false"	"0"
"HIF2016_DIS01_CONV10_POST160"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"diggs1973"	"0"	"1307656800000"	"Anyone"	"false"	"0"
"HIF2016_DIS01_CONV10_POST161"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"riot106"	"0"	"1318543200000"	""	"false"	"0"
"HIF2016_DIS01_CONV10_POST162"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"Col73"	"0"	"1320793200000"	""	"false"	"0"
"HIF2016_DIS01_CONV10_POST163"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"monkeyk"	"0"	"1321743600000"	""	"false"	"0"
"HIF2016_DIS01_CONV10_POST164"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"CrohnieToo"	"0"	"1323039600000"	"Col73"	"false"	"0"
