"sentence_id"	"post_id"	"conversation_id"	"disease_id"	"start_index"	"end_index"
3200641	HIF2016_DIS01_CONV10_POST147	HIF2016_DIS01_CONV10	HIF2016_DIS01	1	5
723669985	HIF2016_DIS01_CONV10_POST147	HIF2016_DIS01_CONV10	HIF2016_DIS01	5	56
854000624	HIF2016_DIS01_CONV10_POST147	HIF2016_DIS01_CONV10	HIF2016_DIS01	56	119
1391179720	HIF2016_DIS01_CONV10_POST148	HIF2016_DIS01_CONV10	HIF2016_DIS01	119	160
498105525	HIF2016_DIS01_CONV10_POST148	HIF2016_DIS01_CONV10	HIF2016_DIS01	160	163
1812727407	HIF2016_DIS01_CONV10_POST148	HIF2016_DIS01_CONV10	HIF2016_DIS01	164	171
62677744	HIF2016_DIS01_CONV10_POST149	HIF2016_DIS01_CONV10	HIF2016_DIS01	171	187
1755719858	HIF2016_DIS01_CONV10_POST149	HIF2016_DIS01_CONV10	HIF2016_DIS01	187	197
1519275040	HIF2016_DIS01_CONV10_POST149	HIF2016_DIS01_CONV10	HIF2016_DIS01	197	204
311439097	HIF2016_DIS01_CONV10_POST149	HIF2016_DIS01_CONV10	HIF2016_DIS01	204	224
693470924	HIF2016_DIS01_CONV10_POST149	HIF2016_DIS01_CONV10	HIF2016_DIS01	224	270
1319895279	HIF2016_DIS01_CONV10_POST149	HIF2016_DIS01_CONV10	HIF2016_DIS01	270	284
1638474666	HIF2016_DIS01_CONV10_POST149	HIF2016_DIS01_CONV10	HIF2016_DIS01	284	375
905622767	HIF2016_DIS01_CONV10_POST149	HIF2016_DIS01_CONV10	HIF2016_DIS01	1	105
2368849	HIF2016_DIS01_CONV10_POST149	HIF2016_DIS01_CONV10	HIF2016_DIS01	106	210
372890119	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	211	217
1686062363	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	1	145
539236361	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	146	318
1199405826	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	319	462
151255906	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	463	608
2049077610	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	609	727
732130386	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	728	855
162100320	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	856	988
1638614757	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	989	1072
1217049528	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	1073	1077
10058081	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	1	32
1658197122	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	33	167
357633874	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	168	254
2073128684	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	256	334
969267348	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	335	361
2108049750	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	362	439
5814195	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	440	466
1675462675	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	467	510
859206477	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	511	571
16826722212	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	572	605
600421756	HIF2016_DIS01_CONV10_POST150	HIF2016_DIS01_CONV10	HIF2016_DIS01	606	716
1371470956	HIF2016_DIS01_CONV10_POST151	HIF2016_DIS01_CONV10	HIF2016_DIS01	719	750
978100421	HIF2016_DIS01_CONV10_POST151	HIF2016_DIS01_CONV10	HIF2016_DIS01	751	888
