"sentence_id"	"post_id"	"conversation_id"	"disease_id"	"start_index"	"end_index"
340647944	HIF2016_DIS02_CONV19_POST338	HIF2016_DIS02_CONV19	HIF2016_DIS02	1	205
34064794411	HIF2016_DIS02_CONV19_POST338	HIF2016_DIS02_CONV19	HIF2016_DIS02	205	376
1945794015	HIF2016_DIS02_CONV19_POST338	HIF2016_DIS02_CONV19	HIF2016_DIS02	377	384
2231231231	HIF2016_DIS02_CONV19_POST338	HIF2016_DIS02_CONV19	HIF2016_DIS02	1	64
1353358715	HIF2016_DIS02_CONV19_POST338	HIF2016_DIS02_CONV19	HIF2016_DIS02	65	231
651514332	HIF2016_DIS02_CONV19_POST339	HIF2016_DIS02_CONV19	HIF2016_DIS02	232	327
1308334390	HIF2016_DIS02_CONV19_POST339	HIF2016_DIS02_CONV19	HIF2016_DIS02	328	449
1700511941	HIF2016_DIS02_CONV19_POST339	HIF2016_DIS02_CONV19	HIF2016_DIS02	450	585
1448128037	HIF2016_DIS02_CONV19_POST339	HIF2016_DIS02_CONV19	HIF2016_DIS02	586	732
1046850526	HIF2016_DIS02_CONV19_POST339	HIF2016_DIS02_CONV19	HIF2016_DIS02	733	840
2108873182	HIF2016_DIS02_CONV19_POST339	HIF2016_DIS02_CONV19	HIF2016_DIS02	841	942
1061058322	HIF2016_DIS02_CONV19_POST339	HIF2016_DIS02_CONV19	HIF2016_DIS02	943	956
1159907466	HIF2016_DIS02_CONV19_POST339	HIF2016_DIS02_CONV19	HIF2016_DIS02	1	64
1773141681	HIF2016_DIS02_CONV19_POST339	HIF2016_DIS02_CONV19	HIF2016_DIS02	65	231
6515143322	HIF2016_DIS02_CONV19_POST340	HIF2016_DIS02_CONV19	HIF2016_DIS02	232	327
13083343902	HIF2016_DIS02_CONV19_POST340	HIF2016_DIS02_CONV19	HIF2016_DIS02	328	449
17005119412	HIF2016_DIS02_CONV19_POST340	HIF2016_DIS02_CONV19	HIF2016_DIS02	450	585
14481280372	HIF2016_DIS02_CONV19_POST340	HIF2016_DIS02_CONV19	HIF2016_DIS02	586	732
10468505262	HIF2016_DIS02_CONV19_POST340	HIF2016_DIS02_CONV19	HIF2016_DIS02	733	840
21088731822	HIF2016_DIS02_CONV19_POST340	HIF2016_DIS02_CONV19	HIF2016_DIS02	841	942
10610583222	HIF2016_DIS02_CONV19_POST340	HIF2016_DIS02_CONV19	HIF2016_DIS02	943	956
11599074662	HIF2016_DIS02_CONV19_POST340	HIF2016_DIS02_CONV19	HIF2016_DIS02	1	41
17731416812	HIF2016_DIS02_CONV19_POST340	HIF2016_DIS02_CONV19	HIF2016_DIS02	1	58
1057061945	HIF2016_DIS02_CONV19_POST341	HIF2016_DIS02_CONV19	HIF2016_DIS02	1	17
279739984	HIF2016_DIS02_CONV19_POST342	HIF2016_DIS02_CONV19	HIF2016_DIS02	18	31
1958330316	HIF2016_DIS02_CONV19_POST343	HIF2016_DIS02_CONV19	HIF2016_DIS02	32	60
416595132	HIF2016_DIS02_CONV19_POST343	HIF2016_DIS02_CONV19	HIF2016_DIS02	61	108
