"sentence_id"	"post_id"	"conversation_id"	"disease_id"	"text"
"3200641"	"HIF2016_DIS01_CONV10_POST147"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"hi, my doctor has come to the conclusion i have IBS after not showing any signs of chrons in a colonoscopy test ."
"723669985"	"HIF2016_DIS01_CONV10_POST147"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"I have every symptom of chrons however: Ab pain, bowel changes, bloating, pain, have had red eyes, sore on leg that change colour when fading, mouth ulcers, etc"
"854000624"	"HIF2016_DIS01_CONV10_POST147"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"my question is has anyone been diagnosed with chrons after having a clear colonoscpy?"
"1391179720"	"HIF2016_DIS01_CONV10_POST148"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"Sorry ma'am but I was diagnosed with it after my bloodwork, colonoscopy and biopsies came back positive."
"498105525"	"HIF2016_DIS01_CONV10_POST148"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"Most people I have talked to that have Chrons also had the positive colonoscopy's which sealed the deal."
"1812727407"	"HIF2016_DIS01_CONV10_POST148"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"Sorry."
"62677744"	"HIF2016_DIS01_CONV10_POST149"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"It is possible you have Crohn's in the small intestine, which will not show on a colonoscopy, as this only looks at the large intestine (colon)."
"1755719858"	"HIF2016_DIS01_CONV10_POST149"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"An upper endoscopy (to look at the oesophagus, stomach and small intestine) is another test to rule out Crohn's as biopsies can be taken of the tissue during the procedure."
"1519275040"	"HIF2016_DIS01_CONV10_POST149"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"Crohn's often starts around the terminal ileum (next to the appendix) and can progress to the whole GI tract (mouth to anus), as mine has done."
"311439097"	"HIF2016_DIS01_CONV10_POST149"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"A barium swallow through is another test to see any problems in the upper GI tract, but this is purely imaging, and biopsies cannot not be taken."
"693470924"	"HIF2016_DIS01_CONV10_POST149"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"As far as I understand, the only conclusive proof of Crohn's is biopsy of affected tissue, looked at by a pathologist."
"1319895279"	"HIF2016_DIS01_CONV10_POST149"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"IBS is a diagnosis of exclusion - after all available tests are completed and found negative for Crohn's or Ulcerative Colitis."
"1638474666"	"HIF2016_DIS01_CONV10_POST149"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"It is not an IBD auto-immune disease and in my opinion, a lazy diagnosis by doctors who cannot be bothered to do proper evaluations."
"905622767"	"HIF2016_DIS01_CONV10_POST149"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"Have you been tested for coeliac disease, as this can have similar symptoms to IBD?"
"2368849"	"HIF2016_DIS01_CONV10_POST149"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"Liz."
"372890119"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"I had something simular happen."
"1686062363"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"I had surgery in August to remove a mass in my small intestine, in the terminal ileum and they biopsy said high probability of Crohns."
"539236361"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"However, when I had a colonoscopy and endoscopy 5 months later, it showed inflamation."
"1199405826"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"and ulcers throughout my small intestine but this time negative on the Crohns."
"151255906"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"I don't really understand."
"2049077610"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"The doctor said I could still have it but been in remission during that time."
"732130386"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"That makes no sense to me."
"162100320"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"So we still don't know if I have it or not."
"1638614757"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"I've had biopsy that said yes and one that said no, I guess."
"1217049528"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"It just doesn't make sense to me."
"10058081"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"Still, the prescription is the same whether I have it or not, steriods to clear up the ulcers and inflamation."
"1658197122"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"I'm taking Entocort and Nexium."
"357633874"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"The doctor told me as long as I'm still feeling pretty good by this Summer then won't need to see him again unless I get symptoms again."
"2073128684"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"He told me that doctor's are reluctant to diagnose Crohns unless they know definately it is Crohns because of insurance reasons."
"969267348"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"I guess I can understand that."
"2108049750"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"Still, I'd like to know if I have Crohns or if it's something else, what is it?"
"5814195"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"You know?"
"1675462675"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"I hope you get a diagnosis soon."
"859206477"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"I can understand your frustration."
"16826722212"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"I wish you well."
"600421756"	"HIF2016_DIS01_CONV10_POST150"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"Take care."
"1371470956"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"thankyou both for your informative replies..."
"978100421"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"I have heard of people who have chrons in the small intestines ..."
"2039809941"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"however when i asked my doctor whether or not this could be a possibility, he said if i had chrons it more than likely would have shown up in the bowel/colon and didnt want to talk any further."
"1726337131"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"i feel very frustrated as i have looked into many chrons symptoms from people with chrons and have been through everything they have .."
"45765876876"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"i was overwhelmed to finally find someone else going through what i have..."
"1882684995"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"i share your opinion of IBS being a lazy diognosis from a doctor ..."
"1628172103"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"i just dont think you can be as sick as i've been and it be that..."
"1421848086"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"and do you have to be having an attack of chrons for the colonoscopy/ endoscopy to pick up a positive result ..."
"9374785"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"or can it be picked up when youre not showing any symptoms?"
"850463349"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"....sounds like Aprils question!"
"1574932099"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"anyway ,isn't it just great when you get better.."
"539543380"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"have had 5 weeks of hell and am now feeling normal again!"
"754044811"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"how are you girls feeling ?"
"1169023776"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"good to talk..."
"59875963"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"thanks for listening, ....saradan."
"1564083323"	"HIF2016_DIS01_CONV10_POST151"	"HIF2016_DIS01_CONV10"	"HIF2016_DIS01"	"( steph)"
