text	factuality
Hi, Iam 34years old & my sonography says Solid cystic complex cyst noted in 6 o' clock position in retroareolar region in left breast measuring 19*18mm & left axillary lymphadenopathy.	EXPERIENCE
what does it means ?	FACT
doctor advised to go for FNAC for further evaluation but i didnt get it done so far coz i'am scared with needles,	EXPERIENCE
is anything serious please tell me i'am very much worried .	OPINION
thanks.	NOT_LABELED
Hi, Breast cysts can be classified as either simple or complex.	FACT
Simple Cysts (fluid filled sacs) have virtually no chance of containing malignancy; they do not need to be aspirated unless they are too large and causing discomfort.	FACT
However a complex cyst is more concerning because it will on occasion be an intracystic cancer.	FACT
These type of cysts are also fluid filled sacs but contain a good percentage of solid elements, like old blood or debris.	FACT
Usually complex cysts are aspirated and the cells examined under the microscope to better evaluate their nature and to rule out cancer.	FACT
A fine needle aspiration is a simple procedure and you shouldn't be scared because the site to be biopsied will be numbed with a local anesthetic.	FACT
Please take my advice and call your Doctor to reschedule the FNA biopsy ASAP so you can have peace of mind.	OPINION
Believe me, knowing what's going on is much better than not knowing and worrying about it needlessly.	OPINION
Best wishes..	NOT_LABELED
Hi, Breast cysts can be classified as either simple or complex.	FACT
Simple Cysts (fluid filled sacs) have virtually no chance of containing malignancy; they do not need to be aspirated unless they are too large and causing discomfort.	FACT
However a complex cyst is more concerning because it will on occasion be an intracystic cancer.	FACT
These type of cysts are also fluid filled sacs but contain a good percentage of solid elements, like old blood or debris.	FACT
Usually complex cysts are aspirated and the cells examined under the microscope to better evaluate their nature and to rule out cancer.	FACT
A fine needle aspiration is a simple procedure and you shouldn't be scared because the site to be biopsied will be numbed with a local anesthetic.	FACT
Please take my advice and call your Doctor to reschedule the FNA biopsy ASAP so you can have peace of mind.	OPINION
Believe me, knowing what's going on is much better than not knowing and worrying about it needlessly.	OPINION
Best wishes..	NOT_LABELED
Thank you so much......you are an Angel.	OPINION
i'm scared but will try my best for FNAC.....thanks again.	OPINION
You are welcome!	NOT_LABELED
Good for you!	NOT_LABELED
That's a very wise decision!	OPINION
Hoping that you'll have nothing to worry about.	NOT_LABELED
:) Take care...	NOT_LABELED
Hi, i didn't do FNAC still coz as i told u em scared of needles.... nw i don't feel any lump & pain is it still must for fnac???	EXPERIENCE
pls lemme know as em very much worried...	OPINION
sometimes em having mild pain on & off ,as if someone is pinching is it anything serious?	EXPERIENCE
kindly advice..	NOT_LABELED
If you aren't willing to follow your Doctor's advice regarding the necessary testing we cannot offer any further help or advice for you here.	OPINION
Best wishes and we truly hope that your issue is not a serious one .....	NOT_LABELED
Hi, thanks for quick reply.... i understand what you say & will follow it.... I just want to know is it still compulsory for fnac coz now i dont have any lumps & pain�	EXPERIENCE
Unless you have had another Ultrasound test there is no way for you to know whether you have the same lump or not.	OPINION
Obviously you are still not willing to do as your Doctors have advised since you seem to be coming up with any excuse not to have the recommended biopsy.	OPINION
We are here to help women who are also willing to help themselves and do their part in their health care.	FACT
Best wishes.	NOT_LABELED
Hi...yesterday i went for another ultrasound test & my report says : A well defined solid cystic complex lesion noted in the 6'o'clock position of left breast measuring 15*12mm.	EXPERIENCE
Evidence of multiple, well defined ,anechoic cystic changes noted in left areolar regions.	EXPERIENCE
Few subcentimeter lymph nodes noted in left axilla with preserved hilum,largest measuring 16*10mm.	EXPERIENCE
ADVICE: FNAC for further evaluation.	EXPERIENCE
Is it anything serious??	FACT
do you think FNAC is must because i dont feel any lump from outside.	OPINION
if it is serious & must then i will get it done ASAP..	NOT_LABELED
Kindly suggest me.	NOT_LABELED
Hi, Not all breast lumps are palpable, but they can certainly be seen when you have an Ultrasound test.	FACT
Japdip has already advised you that if your Radiologist recommended a biopsy, you should, by all means, follow his/her advice ASAP to make sure that there is nothing serious.	OPINION
Believe me that you will feel much better knowing what this lump represents than not knowing.	OPINION
Take care..	NOT_LABELED
Thanks for your reply Zouzi...	NOT_LABELED
Will get FNAC soon.	EXPERIENCE
I have a question how likely is it that i have breast cancer??	FACT
should i be worried??	FACT
what does my report suggest??	FACT
....i have checked with 5 doctors n out of 5 doctors 4 suggested me to go for FNAC ASAP & 1doctor told me today that I can still wait for some time....	EXPERIENCE
iam really confused with my case so kindly give your opinion.	EXPERIENCE
Thanks.	NOT_LABELED
Not even a Radiologist can tell you anything for sure until you have the biopsy and the cells examined by a Pathologist.	FACT
This lump could be anything and not necessarily breast cancer.	OPINION
Please understand that we are not doctors and if we can't answer your questions it's because we simply don't know what else to say except to have the biopsy.	OPINION
I have dense breasts (matches my head), and have had issues with my left one.	EXPERIENCE
I have history of lactation with pituitary tumor but no kids (my health in general bites).	EXPERIENCE
Long story short, had to have an MRI and the report says I have on the left: 7mm irregular mass with non- circumscribed edges, washout (fast uptake).	EXPERIENCE
The right side has an 8mm oval circumscribed mass, washout (fast uptake) associated with a 23 mm clumped, segmental non mass enhancement.	EXPERIENCE
I have to wait until October for the biopsies...	EXPERIENCE
Ugh!	NOT_LABELED
Thoughts?	NOT_LABELED
Hi, I am so sorry you are going through this difficult time waiting for a biopsy,but as you well know, only a biopsy can tell for sure what is going on.	OPINION
One of the problems with MRIs is that they present a lot of false positives.	FACT
Many benign lesions show up on a MRI looking quite similar to cancerous lesions therefore anything that looks suspicious, additional testing becomes necessary.	FACT
Until your lesion is checked under the microscope, there is no way to know if it is cancer.	FACT
Having ""washout kinetics"" makes it suspicious, but you could still end up with benign results.	OPINION
Hang in there and we hope that your biopsy procedure will go smoothly and results in benign findings.	OPINION
All the best to you and good luck!	NOT_LABELED
Thanks...	NOT_LABELED
I am a cl in Brain/pituitary and already dealt with 5 other tumors so hoping for benign.	EXPERIENCE
Will let you know..	NOT_LABELED
Thanks again for the kind words.	NOT_LABELED
Right side came back as invasive grade 2.	EXPERIENCE
Waiting for left side results.	EXPERIENCE
Hi, I am so sorry to hear about your diagnosis.	OPINION
I know finding out that we have breast cancer is scary and overwhelming but don't be discouraged.	OPINION
Breast cancer is a treatable disease since new technologies and many advanced treatments are available these days.	FACT
Your team of Doctors will plan treatments designed specifically for you and hopefully they will be successful in achieving complete recovery.	OPINION
