text	factuality
hi, my doctor has come to the conclusion i have IBS after not showing any signs of chrons in a colonoscopy test .	EXPERIENCE
I have every symptom of chrons however: Ab pain, bowel changes, bloating, pain, have had red eyes, sore on leg that change colour when fading, mouth ulcers, etc	EXPERIENCE
my question is has anyone been diagnosed with chrons after having a clear colonoscpy?	FACT
Sorry ma'am but I was diagnosed with it after my bloodwork, colonoscopy and biopsies came back positive.	EXPERIENCE
Most people I have talked to that have Chrons also had the positive colonoscopy's which sealed the deal.	EXPERIENCE
Sorry.	NOT_LABELED
It is possible you have Crohn's in the small intestine, which will not show on a colonoscopy, as this only looks at the large intestine (colon).	OPINION
An upper endoscopy (to look at the oesophagus, stomach and small intestine) is another test to rule out Crohn's as biopsies can be taken of the tissue during the procedure.	FACT
Crohn's often starts around the terminal ileum (next to the appendix) and can progress to the whole GI tract (mouth to anus), as mine has done.	EXPERIENCE
A barium swallow through is another test to see any problems in the upper GI tract, but this is purely imaging, and biopsies cannot not be taken.	FACT
As far as I understand, the only conclusive proof of Crohn's is biopsy of affected tissue, looked at by a pathologist.	OPINION
IBS is a diagnosis of exclusion - after all available tests are completed and found negative for Crohn's or Ulcerative Colitis.	FACT
It is not an IBD auto-immune disease and in my opinion, a lazy diagnosis by doctors who cannot be bothered to do proper evaluations.	OPINION
Have you been tested for coeliac disease, as this can have similar symptoms to IBD?	FACT
Liz.	NOT_LABELED
I had something simular happen.	EXPERIENCE
I had surgery in August to remove a mass in my small intestine, in the terminal ileum and they biopsy said high probability of Crohns.	EXPERIENCE
However, when I had a colonoscopy and endoscopy 5 months later, it showed inflamation.	EXPERIENCE
and ulcers throughout my small intestine but this time negative on the Crohns.	EXPERIENCE
I don't really understand.	OPINION
The doctor said I could still have it but been in remission during that time.	EXPERIENCE
That makes no sense to me.	OPINION
So we still don't know if I have it or not.	FACT
I've had biopsy that said yes and one that said no, I guess.	EXPERIENCE
It just doesn't make sense to me.	OPINION
Still, the prescription is the same whether I have it or not, steriods to clear up the ulcers and inflamation.	FACT
I'm taking Entocort and Nexium.	FACT
The doctor told me as long as I'm still feeling pretty good by this Summer then won't need to see him again unless I get symptoms again.	FACT
He told me that doctor's are reluctant to diagnose Crohns unless they know definately it is Crohns because of insurance reasons.	FACT
I guess I can understand that.	OPINION
Still, I'd like to know if I have Crohns or if it's something else, what is it?	OPINION
You know?	NOT_LABELED
I hope you get a diagnosis soon.	OPINION
I can understand your frustration.	OPINION
I wish you well.	NOT_LABELED
Take care.	NOT_LABELED
thankyou both for your informative replies...	NOT_LABELED
I have heard of people who have chrons in the small intestines ...	EXPERIENCE
however when i asked my doctor whether or not this could be a possibility, he said if i had chrons it more than likely would have shown up in the bowel/colon and didnt want to talk any further.	EXPERIENCE
i feel very frustrated as i have looked into many chrons symptoms from people with chrons and have been through everything they have ..	EXPERIENCE
i was overwhelmed to finally find someone else going through what i have...	NOT_LABELED
i share your opinion of IBS being a lazy diognosis from a doctor ...	OPINION
i just dont think you can be as sick as i've been and it be that...	OPINION
and do you have to be having an attack of chrons for the colonoscopy/ endoscopy to pick up a positive result ...	FACT
or can it be picked up when youre not showing any symptoms?	FACT
....sounds like Aprils question!	NOT_LABELED
anyway ,isn't it just great when you get better..	OPINION
have had 5 weeks of hell and am now feeling normal again!	EXPERIENCE
how are you girls feeling ?	NOT_LABELED
good to talk...	NOT_LABELED
thanks for listening, ....saradan.	NOT_LABELED
( steph)	NOT_LABELED
Ok I know I said it wrong, but for the last 2 woman who posted, I was reading that there are 5 different Crohns, not sure of all but remember the most common was the ilieum, then lg intestines, then beggining of sm.	FACT
intestines the duednum, from mouth to anus.	FACT
and in some the jejelum,(where they can see with the endo capsule camera, but not with regular endoscope or colonoscope??	FACT
I was wondering abt this myself??	NOT_LABELED
Any responses at the jejelum would be appreciated.	OPINION
Thanx,georgie.	NOT_LABELED
You can have Crohn's Disease anywhere in your digestive tract, from your lips to your anus.	FACT
It is most common in the colon, but it isn't exclusive.	FACT
Think of it as a mean thing living inside of you that can either attack one place or spread to another place, or MOVE to another.	FACT
This is why patients who have portions of their bowel removed, sometimes have Crohn's pop up in a new part.	FACT
I would recommend getting a capsule endoscopy.	OPINION
You swollow a camera in a pill that sends photos every three seconds to a machine that you wear around your stomach for the day.	FACT
It does not hurt at all and it eventually comes out naturally like anything else.	FACT
trust me ,when a doctor does a colonoscopy,he goes into the small intestines, most people with crohns has it in the iliuem.i got dignosed with crohns disease in the year 2000,.	OPINION
and just last year got dignosed with ulcerative colitis and diverticulis.just got out of hospital in time to celebrate christmas,was in hospital 7 times last year with it not fun.if you feel you need a second oppion get one.	EXPERIENCE
crohns can even affect the eyes.	FACT
my eyes look like there bleeding,my tongue has ulcers it goes all the way to my abdmion,mostly right side but affects left side and my back.kidneys are being affected.im going to the cleveland clinic for my crohns now.this is not a disease i wish uppon anyone, both of you sound like you need a second oppion.	EXPERIENCE
I am in a similar situation and trying to get a second opinion at this point.	EXPERIENCE
I have been having intestinal problems since 2002 and just a year ago got a dr to finally find a colonoscopy necessary.	EXPERIENCE
I was diagnosed from that with non specific non ulcerative colitis.	EXPERIENCE
I suffer daily with mucousy diarhea, and abdominal cramping and pain.	EXPERIENCE
Recently I develped a peri rectal abcess and fistula that I am seeing a colorectal surgeon for, who informed me that I had been misdiagnosed by the first GI dr because the only two conditions that can cause that kind of fistula is crohns or ulcerative colitis.	EXPERIENCE
I have only been treated for the currest symptoms with hyoscamine and another med but I can't remember what it was offhand...started with an L i think but I couldn't handle the side effects from it.	EXPERIENCE
I am not getting much relief from the medications that I have been given.	EXPERIENCE
I am also being treated by my general dr for anxiety and depression disorder and for chronic insomnia.	EXPERIENCE
I really just think there is something much deeper going on here with all these different things going on.	OPINION
Anyone have any ideas or suggestions?	NOT_LABELED
I went undiagnosed for 12 years with Chrons.	EXPERIENCE
I was always told I had IBS but I knew different I was too sick for that.	EXPERIENCE
Through a colonoscopy there was some inflammation but they still did got get me a diagnoses (5 Colonoscopies later).	EXPERIENCE
It was not until my dr ran a specific blood test for Chrons that came back abnormal was I finally diagnosed with Chrons.	EXPERIENCE
Be very insistent, we know our bodies better than any dr out there.	OPINION
If you know something is wrong keep pursuing it.	OPINION
IBS not not include any inflammation internally and a fever and such.	FACT
Hope nobody ever has to wait as long as I did for help and treatment.	EXPERIENCE
