text	polarity
I have been a coffee drinker on and off since I was little.	NEUTRAL
I notice now that I am older, and perhaps I have always had this issue just did not correlate the connection between the two, but I have to wonder if it is possible for me to have an allergy to coffee.	NEGATIVE
When I drink it, if I drink about 2 cups a day spaced out, it takes about a week for me to get these symptoms: - sore throat, increased nasal drainage and nasal drip in the back of my throat, sometimes slight eye swelling, slight cough.	NEGATIVE
I always kind of said oh it's just allergies from pollen or I am catching a cold...	NEGATIVE
but in fact when I do not consume coffee, I am back to normal in about 3 days.	POSITIVE
I tried to find some information on this but it seems hard to read up on.	NEGATIVE
Would be great if anyone had any feedback on this.	POSITIVE
Thanks so much.	POSITIVE
Are you drinking decaf or caffeinated?	NEUTRAL
That does sound like you have a food sensitivity to coffee.	NEGATIVE
I don't think it's the caffeine, but one way you can figure out if it's caffeine is to try black or green tea (both are from the same plant).	NEUTRAL
Just be mindful that the green tea can still carry a problem with lead from the processing.	NEGATIVE
Dr. Mercola has articles that explain this more thoroughly.	NEUTRAL
There are some that he explains don't have this risk.	POSITIVE
I know it seems like there shouldn't be a risk, since they are steaming, then drying to keep the leaves green.	POSITIVE
So, I'm not sure where the lead comes from.	NEUTRAL
But, black tea doesn't carry the same risk.	POSITIVE
I myself simply can't drink tea, though, because the tannin bothers me.	NEGATIVE
I can tolerate tea for about 3 days it seems and that is black tea, herbal teas do not bother me, green tea gives me headaches.	POSITIVE
I did try Dr. Mercola's suggestion of teas and actually bought about 6 packs of the varieties, but it wasn't too pleasing to the pallet for me.	NEGATIVE
Black tea will make me nauseated on an empty stomach and I think that's because of the tannins too.	NEGATIVE
So far it has been about 3 days without the coffee or tea and my sinuses have dried up.	POSITIVE
My throat is no longer swollen and my cough went away.	POSITIVE
And yes this is caffeinated coffee and tea.	NEUTRAL
Hardest food allergy/intolerance to break when you adore the smells of coffee :(	NEGATIVE
But at the same time frustrating if I have really consumed these things for over 20 some years not knowing it was causing these symptoms and never putting the two together.	NEGATIVE
I tried in ernest to switch myself to green tea a few years ago and was able to get off the coffee, but then I started developing consistent headaches daily.	NEGATIVE
Read up on that and some people have an intolerance to green tea that causes this, grr, so back to coffee I ended up going.	NEGATIVE
Now it looks like herbal tea and rooibos tea are my only options.	NEUTRAL
I think you're right.	POSITIVE
I don't tolerate the tea plant at all myself.	NEGATIVE
The GERD is bothered by it, but I also get headaches from the tea plant.	NEGATIVE
So, like you, I can't touch the real tea.	NEGATIVE
It doesn't really surprise me that you are so attracted to the smell of coffee, even though you are clearly allergic to it.	NEUTRAL
I've learned a few years ago that often both people and pets tend to crave the very things they are allergic or sensitive to.	NEUTRAL
I know that this is true even of my cat.	NEUTRAL
She is definitely allergic to grains, but if there is something that smells really good to her that is loaded with grains, she wants it.	NEGATIVE
And, she will try to take it.	NEUTRAL
She isn't normally like this with foods she isn't allergic to.	NEUTRAL
If I'm eating meat, which she doesn't seem to have any allergies to that I don't have, she behaves herself quite nicely.	POSITIVE
She might beg, but she begs politely instead of trying to take something.	NEUTRAL
When I saw that this happens even with the cat, I knew that what I had read about craving things one is allergic to is true and it can't be just psychological.	NEUTRAL
Cats are obligate carnivores after all.	NEUTRAL
There is likely a psychological connection, but it seems that there must be a physical connection, too, since the cat does this somewhat if something is really rich, like muffins, which I haven't had in forever since I haven't figured out how to make gluten free.	NEUTRAL
Yeah we had switched our cats to a grain free food and our dog too called Tasted of the Wild: http://www.tasteofthewildpetfood.com/ You can find their food at your Tractor Supply stores.	NEUTRAL
It costs a little more than normal cheap dogwoods/catfoods but has really been worth it for them.	NEUTRAL
Their coats thickened up and they are eating less because they are actually full.	POSITIVE
As for my coffee intolerance yes amazing that I enjoy the smell of it so much :( Gotta retrain myself.	NEGATIVE
I think after a while you do actually start to feel more displeasure from the stuff you crave.	NEGATIVE
There are times when my body has had enough coffee, so I have no pleasure in the coffee aisle--just a lot of sneezing.	NEGATIVE
I don't drink it all the time, but it does actually help with migraines if I don't drink too much of it.	POSITIVE
That's a good resource for dog owners to know about.	POSITIVE
I don't personally have a dog, but so many people do, so it's greatly appreciated that you posted that information.	POSITIVE
It's been about 6 days without coffee or tea, grrr	NEGATIVE
lol Definitely a challenge for me.	NEUTRAL
Everyone always says try herbal teas, but yes they are not quite the same.	NEGATIVE
I do feel good and I am sleeping well.	POSITIVE
My throat is not dry or irritated.	POSITIVE
And besides for just regular pollen sneezes I am not having a lot of phlegm or runny noses.	POSITIVE
