"sentence_id"	"factuality"
"1880352762"	"EXPERIENCE"
"2103490373"	"OPINION"
"562514089"	"EXPERIENCE"
"983780520"	"OPINION"
"849700531"	"EXPERIENCE"
"1892450727"	"EXPERIENCE"
"1704311769"	"OPINION"
"1453867436"	"NOT_LABELED"
"1083744548"	"FACT"
"350940492"	"OPINION"
"1099837313"	"OPINION"
"1422180636"	"FACT"
"1934892816"	"FACT"
"1902757391"	"FACT"
"1882214592"	"OPINION"
"513567436"	"OPINION"
"416554499"	"OPINION"
"684960171"	"EXPERIENCE"
"404906152"	"EXPERIENCE"
"230350390"	"EXPERIENCE"
"891130275"	"EXPERIENCE"
"1985709305"	"EXPERIENCE"
"2143623069"	"EXPERIENCE"
"1899162147"	"FACT"
"84026695"	"OPINION"
"6684026695"	"OPINION"
"911422625"	"EXPERIENCE"
"1281066004"	"FACT"
"1029256788"	"OPINION"
"576436274"	"OPINION"
"866997827"	"FACT"
"1536643017"	"EXPERIENCE"
"2043428188"	"FACT"
"1203401400"	"OPINION"
"2131799626"	"OPINION"
"83126042"	"OPINION"
"1513714680"	"FACT"
"1599229961"	"EXPERIENCE"
"2012718212"	"FACT"
"194659775"	"EXPERIENCE"
"253016793"	"OPINION"
"2078831917"	"OPINION"
"2015366979"	"FACT"
"2104219107"	"OPINION"
"1293426315"	"EXPERIENCE"
"852527090"	"OPINION"
"825649104"	"EXPERIENCE"
"4605579"	"FACT"
"1253296586"	"OPINION"
"874000542"	"EXPERIENCE"
"1356572612"	"EXPERIENCE"
"1968609893"	"OPINION"
"48226202"	"OPINION"
"461306088"	"EXPERIENCE"
"444306088"	"OPINION"
"1973137300"	"OPINION"
"1127226888"	"EXPERIENCE"
"1415648171"	"EXPERIENCE"
"1048713060"	"EXPERIENCE"
"847013507"	"EXPERIENCE"
"427319535"	"OPINION"
"168838385"	"OPINION"
"884076467"	"FACT"
"1970634392"	"EXPERIENCE"
"1695120148"	"FACT"
"905694708"	"FACT"
"1928351442"	"FACT"
"1889137670"	"OPINION"
"1485471082"	"OPINION"
"506218659"	"FACT"
"2022711636"	"OPINION"
"824939865"	"EXPERIENCE"
"958828112"	"EXPERIENCE"
"1530688725"	"EXPERIENCE"
"1093819964"	"FACT"
"2083472814"	"FACT"
"675681116"	"FACT"
"446420219"	"OPINION"
"13370972"	"OPINION"
"684200588"	"FACT"
"1274494904"	"OPINION"
"616254719"	"OPINION"
"319497283"	"EXPERIENCE"
"1437582572"	"OPINION"
"1193887976"	"OPINION"
"45297449"	"OPINION"
"2007970097"	"FACT"
