"sentence_id"	"polarity"
"340647944"	"NEUTRAL"
"34064794411"	"NEUTRAL"
"1945794015"	"NEGATIVE"
"2231231231"	"NEGATIVE"
"1353358715"	"NOT_LABELED"
"651514332"	"NEUTRAL"
"1308334390"	"NEUTRAL"
"1700511941"	"NEUTRAL"
"1448128037"	"NEUTRAL"
"1046850526"	"NEUTRAL"
"2108873182"	"NEUTRAL"
"1061058322"	"NEUTRAL"
"1159907466"	"NEUTRAL"
"1773141681"	"NOT_LABELED"
"6515143322"	"NEUTRAL"
"13083343902"	"NEUTRAL"
"17005119412"	"NEUTRAL"
"14481280372"	"NEUTRAL"
"10468505262"	"NEUTRAL"
"21088731822"	"NEUTRAL"
"10610583222"	"NEUTRAL"
"11599074662"	"NEUTRAL"
"17731416812"	"NOT_LABELED"
"1057061945"	"POSITIVE"
"279739984"	"NEGATIVE"
"1958330316"	"NOT_LABELED"
"416595132"	"NOT_LABELED"
"324941305"	"POSITIVE"
"1970719680"	"POSITIVE"
"6941845"	"NOT_LABELED"
"385968463"	"NEGATIVE"
"1098843351"	"NEGATIVE"
"1600881882"	"NEGATIVE"
"1437689303"	"NOT_LABELED"
"1706106055"	"NEGATIVE"
"767391713"	"POSITIVE"
"1834068674"	"POSITIVE"
"257515149"	"NEUTRAL"
"1905944761"	"NEGATIVE"
"275053332"	"POSITIVE"
"795261213"	"NOT_LABELED"
"1444267053"	"NEUTRAL"
"910528024"	"NEUTRAL"
"890352272"	"NEUTRAL"
"353636487"	"NEUTRAL"
"2073385947"	"NEUTRAL"
"1663449838"	"NEUTRAL"
"1041618501"	"NOT_LABELED"
"1400123803"	"NEUTRAL"
"2040188263"	"NEUTRAL"
"599516619"	"NEUTRAL"
"59951661911"	"POSITIVE"
"1433205206"	"NOT_LABELED"
"423544596"	"POSITIVE"
"1927341717"	"NEUTRAL"
"177373798"	"NEUTRAL"
"558769495"	"NEUTRAL"
"1678819295"	"NEUTRAL"
"270690504"	"NEGATIVE"
"27069050411"	"NEGATIVE"
"31129456533"	"NOT_LABELED"
"2033144643"	"NEUTRAL"
"390086057"	"NEUTRAL"
"709687145"	"NEUTRAL"
"1879101763"	"NEGATIVE"
"1828013591"	"NEUTRAL"
"2065810067"	"NEUTRAL"
"2103154199"	"NEUTRAL"
"1214712653"	"NEUTRAL"
"2634475"	"NOT_LABELED"
"1411138021"	"NOT_LABELED"
"2143868193"	"NEUTRAL"
"1169091543"	"NEUTRAL"
"1162086574"	"NEUTRAL"
"1441733331"	"NEUTRAL"
"597648665"	"NEUTRAL"
"1820592963"	"POSITIVE"
"1269685874"	"POSITIVE"
"1493632283"	"NOT_LABELED"
"497191977"	"NEUTRAL"
"27380159"	"NEUTRAL"
"296816908"	"NOT_LABELED"
"547396458"	"NEUTRAL"
"1534990510"	"NEUTRAL"
"753525109"	"NEGATIVE"
"1093793583"	"POSITIVE"
"1865506768"	"NEUTRAL"
"24989539"	"POSITIVE"
"1308037340"	"POSITIVE"
"1773395385"	"POSITIVE"
"306911752"	"NEUTRAL"
"1539687104"	"POSITIVE"
"37707997"	"NOT_LABELED"
"1650221801"	"NEGATIVE"
"1280269948"	"NEGATIVE"
"592340413"	"POSITIVE"
"666306322"	"POSITIVE"
"725394286"	"POSITIVE"
"1371019640"	"NOT_LABELED"
"569155981"	"POSITIVE"
"2007448578"	"NOT_LABELED"
"752281920"	"POSITIVE"
"1296832368"	"NEUTRAL"
"240071724"	"NEUTRAL"
"286269621"	"NEGATIVE"
"1516961080"	"POSITIVE"
"328717976"	"NEUTRAL"
"1833735673"	"NEGATIVE"
"1410607360"	"NOT_LABELED"
"815642281"	"NEGATIVE"
"960433479"	"POSITIVE"
"1423803463"	"POSITIVE"
"888965391"	"NEUTRAL"
"180248256"	"POSITIVE"
"894201732"	"POSITIVE"
"818386018"	"POSITIVE"
"655754989"	"POSITIVE"
"319088625"	"POSITIVE"
"31129456534"	"NOT_LABELED"
"863744262"	"NEUTRAL"
"1453919127"	"NEUTRAL"
"2070248902"	"NEUTRAL"
"1582982121"	"NEGATIVE"
"1501034444"	"NEGATIVE"
"235707669"	"NEUTRAL"
"1472802931"	"NEUTRAL"
"1471494300"	"NEUTRAL"
"1519251526"	"NEUTRAL"
"117574241"	"NEUTRAL"
"1286443449"	"NEUTRAL"
"1601155099"	"NEUTRAL"
"1674073552"	"NEUTRAL"
"56016538"	"NEUTRAL"
"2117673992"	"NEUTRAL"
"1310647909"	"POSITIVE"
"2091279072"	"NEUTRAL"
"357286565"	"NEUTRAL"
"1748854575"	"POSITIVE"
"14332052062"	"NOT_LABELED"
"722621690"	"NEGATIVE"
"892346580"	"NEUTRAL"
"74174202"	"NEUTRAL"
